URL,Label
babal.net,0
qrco.de,1
grefghdf.com,1
sign-in-att-109479.weeblysite.com,1
pub-18b1940b75684bf3bcc83b5a6e5d564c.r2.dev,1
allegro.pl,0
idm.in,1
9gag.tv,0
metro.co.uk,0
q-r.to,1
ypro0asz.web.app,1
mic.com,0
ap.org,0
udn.com,0
pub-b30ee5a7111048138888e0e92e228072.r2.dev,1
depositphotos.com,0
norwaupdate2.wpenginepowered.com,1
deadspin.com,0
olx.ro,0
pornsharing.com,0
yourlust.com,0
id8237462222123.firebaseapp.com,1
pub-9afa564ff83944b49ae1222111a109cb.r2.dev,1
rocketnews24.com,0
imsva91-ctp.trendmicro.com:443,1
cookpad.com,0
hushmail.web.app,1
tunein.com,0
kenh14.vn,0
hdfcbank.com,0
docs.google.com,1
bt-cmp.link.cam,1
help762544assetbusiness24.github.io,1
athscknfkjncnmdjmmgatt.square.site,1
ap.org,0
mnxmcvxmz.wixsite.com,1
lenovo.com,0
pub-7dc41cd2c4614a659a40cbdcfaa87c9c.r2.dev,1
sites.google.com,1
extratorrent.cc,0
atwiki.jp,0
qrco.de,1
tobogo.net,0
fonefacillbradesc-bia.com,1
web.de,0
provincia-ar.webcindario.com,1
bit.ly,1
tinyurl.com,1
chaselogin215.firebaseapp.com,1
oppercaseunitweb.weebly.com,1
ipfs.io,1
censor.net.ua,0
docs.google.com,1
twitter.com,0
orange034552.studio.site,1
katproxy.com,0
lcldetecthumainweb05.web.app,1
thenextweb.com,0
enattentedeconnexiondeserveur.mydurable.com,1
pub-d43ad3acfa6f478a8742af16784dbbf2.r2.dev,1
docs.google.com,1
thenextweb.com,0
udn.com,0
docs.google.com,1
email.standerd.click,1
nypost.com,0
q-r.to,1
allegro.pl,0
megogo.net,0
tomlze.web.app,1
nymag.com,0
worker-home-att-767e.rijolo7229.workers.dev,1
maavetamslogin.webflow.io,1
kraakeinlaogin.webflow.io,1
kjwelder9.activehosted.com,1
persianblog.ir,0
suryapi.de,1
ap.org,0
plarium.com,0
docs.google.com,1
distractify.com,0
leafbullbdxkt.blogspot.com,1
kakaku.com,0
qrco.de,1
buzzfil.net,0
qrco.de,1
trezowerwallet.webflow.io,1
q-r.to,1
nypost.com,0
nguyentandung.org,0
maybank2u.com.my,0
stackoverflow.com,0
espn.go.com,0
cliente-galionline.click,1
pub-a4257c07d94b402db55e15735e12844b.r2.dev,1
sbb.sviluppo.host,1
mic.com,0
torcache.net,0
distractify.com,0
icicibank.com,0
pe0.cc,1
indianexpress.com,0
www.dropbox.com,1
onedio.com,0
prezi.com,0
agreementupdateatt.wixsite.com,1
drive.google.com,1
distractify.com,0
hootsuite.com,0
www.allegrolokalnie.pl-oferta-id2387942371.top,1
anandtech.com,0
extratorrent.cc,0
upsv-zcmp.campaign-view.eu,1
medredig.firebaseapp.com,1
metro.co.uk,0
baccredot.webcindario.com,1
emgn.com,0
vicis.net,1
pub-3a7b7ca4ea944c9180e188aad1408d36.r2.dev,1
wandering-fire-e106.ilruh7zw.workers.dev,1
ap.org,0
pub-e9a60070b1cb41bbbf433399f7b08f54.r2.dev,1
icicibank.com,0
extratorrent.cc,0
docs.google.com,1
bit.ly,1
t.co,1
t.co,1
vnexpress.net,0
btfreemodeworld.weebly.com,1
distractify.com,0
forms.office.com,1
q-r.to,1
metro.co.uk,0
torcache.net,0
medium.com,0
bit.ly,1
olx.pl,0
q-r.to,1
sourceforge.net,0
mariejanne1975.wixsite.com,1
bongda88.info,0
tobogo.net,0
sites.google.com,1
putlocker.is,0
indianexpress.com,0
superuser.com,0
sites.google.com,1
sonwind-487d.auth-analytics.workers.dev,1
638ca12d-ba2f-451c-8418-faf56b7de7ff.htmlcomponentservice.com,1
motthegioi.vn,0
tobogo.net,0
pub-6e8486552e0e4a7db304858a280b4003.r2.dev,1
ap.org,0
codecanyon.net,0
torcache.net,0
aljazeera.net,0
ghdfjsdft.weebly.com,1
indianexpress.com,0
ckoltes.top,1
atmpolnt.top,1
home-106134.weeblysite.com,1
twitter.com,0
q-r.to,1
business-facebook-suite-03.pages.dev,1
docs.google.com,1
torcache.net,0
metro.co.uk,0
depositphotos.com,0
r.e.alsvip.top,1
sso-s-coinbasepro-cdn-h-auths.webflow.io,1
kotaku.com,0
abc.go.com,0
sourceforge.net,0
nhj0652301.web.app,1
bt-107489.weeblysite.com,1
pub-b325673d26f6495d8c9a34b45cc26df4.r2.dev,1
censor.net.ua,0
w2x4f3k.com,1
torcache.net,0
interpark.com,0
menist.top,1
bdnews24.com,0
worker-lively-fire-e077.bladewar2023.workers.dev,1
allegro.pl,0
ero-advertising.com,0
siriananstock.com,1
allegro.pl,0
docs.google.com,1
usariousder.weebly.com,1
mic.com,0
mydomaincloud.page.link,1
yahoo-mail-107470.weeblysite.com,1
obmila.com,1
web.tv,0
updatemail103.wixsite.com,1
fbclid8123471236748129583.web.app,1
skatteetateennoo.web.app,1
usfw.frgrps.top,1
yetiskarristerrasgenralsi.firebaseapp.com,1
qz.com,0
atwiki.jp,0
bit.ly,1
shorturl.at,1
otomoto.pl,0
pub-682ad3b65d944376b919745aae3c56d4.r2.dev,1
olx.ua,0
www.customerteamreps.com.ng,1
themeforest.net,0
webmail-104301.weeblysite.com,1
servientregas-gh.top,1
babal.net,0
mic.com,0
onedio.com,0
nypost.com,0
censor.net.ua,0
depositphotos.com,0
indianexpress.com,0
eksisozluk.com,0
azrsyd1092653.start.page,1
torrentdn.com,0
askubuntu.com,0
espn.go.com,0
offlaylay.godaddysites.com,1
mic.com,0
rackspace.web.app,1
allrecipes.com,0
kickass.to,0
dk11863350763.activehosted.com,1
yourlust.com,0
correoargentinoniov.top,1
www.dropbox.com,1
tunein.com,0
tinnhanh360.net,0
coinbase-remote.com,1
plarium.com,0
danine9.github.io,1
wonderl.ink,1
cheezburger.com,0
mylust.com,0
nguyentandung.org,0
auth--bitbuy--login--sso.webflow.io,1
docs.google.com,1
deniao.asia,1
pub-336d4f11dd104346a92b5a6ad889d09e.r2.dev,1
cr86190.tw1.ru,1
torcache.net,0
q-r.to,1
owashdy.firebaseapp.com,1
uxcbnhg.xyz,1
qz.com,0
docs.google.com,1
bdnews24.com,0
tinnhanh360.net,0
bit.ly,1
extratorrent.cc,0
www.kojikimura.com,1
kenh14.vn,0
qrco.de,1
nodeschain-pandoshi.pages.dev,1
indiapot-in.top,1
extratorrent.cc,0
clien.net,0
com-tracksmt.top,1
att-2024-105889.weeblysite.com,1
xvideo-jp.com,0
tobogo.net,0
bit.ly,1
tinyurl.com,1
qrco.de,1
ptttr.ink,1
olx.co.id,0
twitter.com,0
dantri.com.vn,0
www-cred-foz-ilha.blogspot.com,1
graphicriver.net,0
couchtuner.eu.com,0
tinyurl.com,1
stackoverflow.com,0
dantri.com.vn,0
interpark.com,0
fcsbnk.weebly.com,1
nguyentandung.org,0
mic.com,0
tune.pk,0
nymag.com,0
mykucoinaccount.webflow.io,1
supportcid1008395621896.web.app,1
6yy6w5y5y6w56yh56.pages.dev,1
cauradaada.web.app,1
nguyentandung.org,0
bongda88.info,0
nesn.com,0
apihmg.sistemasubsolar.com.br,1
nguyentandung.org,0
hubpages.com,0
distractify.com,0
indianexpress.com,0
ipfs.io,1
askubuntu.com,0
olx.pl,0
securedsbank.weebly.com,1
torrentdn.com,0
pub-e6aca7d4cf40481b8b5395ee48dce8cf.r2.dev,1
docs.google.com,1
elitedaily.com,0
allegro.pl,0
extratorrent.cc,0
bt-tellecommez.weeblysite.com,1
9gag.tv,0
tobogo.net,0
lifehacker.com,0
grantland.com,0
teespring.com,0
gsefg.xyz,1
olx.ua,0
pub-e5f447a9558142dab22f0e54cd689c11.r2.dev,1
skyrock.com,0
genius.com,0
xossip.com,0
caixa.gov.br,0
bthelpme.weebly.com,1
torcache.net,0
twitter.com,0
distractify.com,0
slashdot.org,0
docs.google.com,1
thenextweb.com,0
olx.co.id,0
tinyurl.com,1
service-orange0660.weebly.com,1
lo-barnechea-6a202.web.app,1
bit.ly,1
constrainthome080doc-1318069902.cos.ap-chengdu.myqcloud.com,1
extratorrent.cc,0
ttch.xyz,1
jdnonap-ar-eu.smartcat-proxy.net,1
correios.com.br,0
icicibank.com,0
grc-courierse.top,1
atwiki.jp,0
maybank2u.com.my,0
usps.com-infopcy.top,1
nguyentandung.org,0
thenextweb.com,0
att-106249.weeblysite.com,1
docs.google.com,1
kienthuc.net.vn,0
fazenda.gov.br,0
nguyentandung.org,0
motthegioi.vn,0
qrco.de,1
demonserver76.weebly.com,1
ln.run,1
maybank2u.com.my,0
docs.google.com,1
kienthuc.net.vn,0
att-100103-100457.weeblysite.com,1
torcache.net,0
swissquotestaking.k888vip.xyz,1
pub-7d71c666b45848dc8cd2b4fe0b9b1e93.r2.dev,1
extratorrent.cc,0
amendesphoto.top,1
elitedaily.com,0
censor.net.ua,0
correios.com.br,0
udn.com,0
thechive.com,0
scr54-mttdx21.web.app,1
urbaner.emlnk.com,1
q-r.to,1
mashable.com,0
sites.google.com,1
addres-ca.info,1
ipfs.io,1
ap.org,0
themeforest.net,0
pagofacturasclaros.com,1
shawmailboxservice4.wixsite.com,1
docs.google.com,1
themeforest.net,0
themeforest.net,0
bit.ly,1
tinyurl.com,1
docs.google.com,1
web.de,0
medium.com,0
techterrae.pro,1
l.ead.me,1
www.abcsubmit.com,1
eksisozluk.com,0
distractify.com,0
pocztapolska.weebly.com,1
appraisal-analysis.myportfolio.com,1
codecanyon.net,0
clien.net,0
bigcinema.tv,0
02ip.ru,1
l.ead.me,1
qrco.de,1
bit.ly,1
olx.ua,0
genius.com,0
extratorrent.cc,0
01x.63463247.xyz,1
new.express.adobe.com,1
btinternet-104864.weeblysite.com,1
allegro.pl,0
renew.royalameil.network,1
groucoles.firebaseapp.com,1
correios.com.br,0
accountupdater-hub.com.es,1
zain-kw.top,1
mylust.com,0
icicibank.com,0
ecnavi.jp,0
qbaznhsjd.komi.io,1
uudhuede.w3spaces.com,1
thenextweb.com,0
ecnavi.jp,0
xhamster.com,0
vdacon-pts.click,1
pub-edfcb0561d474944b3d0faaafdd2e16e.r2.dev,1
extratorrent.cc,0
depositphotos.com,0
syosetu.com,0
extratorrent.cc,0
telcegram.cc,1
twitter.com,0
variety.com,0
metamask-verse.pages.dev,1
q-r.to,1
www.ielpqioms.cn,1
docs--learn----desktop-ledgre.webflow.io,1
searchengineland.com,0
docs.google.com,1
sourceforge.net,0
zjqn58.csb.app,1
onne.link,1
sourceforge.net,0
depositphotos.com,0
emgn.com,0
olx.pl,0
amirahashley007.wixsite.com,1
gohvb-d636f.web.app,1
serverfault.com,0
interpark.com,0
techcrunch.com,0
esspace-lcients.firebaseapp.com,1
l.ead.me,1
deutschlandhilfecenter.de,1
variety.com,0
l.ead.me,1
torcache.net,0
bit.ly,1
pub-49cbe4b6fc224891814c3fa2588e13c6.r2.dev,1
tinyurl.com,1
kickass.to,0
dfgjhklhlfghjnk.weebly.com,1
allegrolokalnie.id-61912801.buzz,1
wpengine.com,0
elcomercio.pe,0
thisorthatup.icu,1
archive.org,0
nesn.com,0
kienthuc.net.vn,0
themeforest.net,0
pub-d804dadbb3884b128bb0df64d8ce83b8.r2.dev,1
10ec743.wcomhost.com,1
login-auth.update-ourtime.workers.dev,1
slsloeikrffjfjans.weebly.com,1
docs.google.com,1
censor.net.ua,0
alfalfalfa.com,0
l.ead.me,1
hdfcbank.com,0
buzzfil.net,0
babal.net,0
aws.accountverify.club,1
patch.com,0
microsoft-106782.weeblysite.com,1
tinyurl.com,1
new.express.adobe.com,1
usps.com-trackmez.top,1
www.dropbox.com,1
babal.net,0
twitter.com,0
121-090-att.square.site,1
mozarez.firebaseapp.com,1
servientreglco.cfd,1
uveexc.com,1
olx.co.id,0
seekingalpha.com,0
depositphotos.com,0
q-r.to,1
thenextweb.com,0
moviepilot.com,0
docs.google.com,1
bancabipbyfwc.webcindario.com,1
tinnhanh360.net,0
clien.net,0
web.de,0
torcache.net,0
mylust.com,0
t.co,1
docs.google.com,1
serverfault.com,0
twitter.com,0
q-r.to,1
usps.com-tracksue.top,1
tinyurl.com,1
flydubai-staging-app-current.azureedge.net,1
ink361.com,0
sfglobe.com,0
kenh14.vn,0
q-r.to,1
lifehacker.com,0
fishki.net,0
www.jobbertechnology.com,1
mylust.com,0
icicibank.com,0
elitedaily.com,0
postabfr.firebaseapp.com,1
q-r.to,1
docs.google.com,1
www.dropbox.com,1
tinyurl.com,1
megogo.net,0
t.co,1
fakeserhelpsreivew-facesonseriengoies-16838.io.vn,1
www.dropbox.com,1
otomoto.pl,0
bit.ly,1
vnexpress.net,0
tinyurl.com,1
motthegioi.vn,0
correios.com.br,0
home-108732.weeblysite.com,1
cloudmokakitchen.co.ke,1
paytm.com,0
megogo.net,0
bit.ly,1
torcache.net,0
perezhilton.com,0
uproxx.com,0
motthegioi.vn,0
att-104493.weeblysite.com,1
torcache.net,0
depositphotos.com,0
xvgod.shop,1
qrco.de,1
distractify.com,0
www.tenjinwork.jp,1
dgtnmhdfgnh.w3spaces.com,1
interpark.com,0
pikabu.ru,0
auto.ru,0
otomoto.pl,0
auto.ru,0
auth-mstart-ledgercom.webflow.io,1
steamcommunity.com,0
thenextweb.com,0
qrco.de,1
torcache.net,0
aljazeera.net,0
www.srikrishnacollegebagula.ac.in,1
docs.google.com,1
torcache.net,0
fjgrhgrhgej.weebly.com,1
docs.google.com,1
bantuan-ewallet-touchngo.apy-1d.com,1
tobogo.net,0
ap.org,0
campsite.bio,1
censor.net.ua,0
cox.com,0
depositphotos.com,0
500px.com,0
nesn.com,0
caixa.gov.br,0
aljazeera.net,0
fragrant-star-3327.wihar57164.workers.dev,1
babal.net,0
codeink.tech,1
hospital-2451.vercel.app,1
att-108455.weeblysite.com,1
tobogo.net,0
sourceforge.net,0
my-site-108824-101510.weeblysite.com,1
q-r.to,1
evolua-cop.blogspot.com,1
akhbarelyom.com,0
tobogo.net,0
twitter.com,0
docs.google.com,1
wikimapia.org,0
steamcommunity.com,0
script.google.com,1
ustracli.info,1
